shop_name,address,phone_number,email,category,product,district,street_no,street_name,city,ward,ocr_result,file_name
Bún Bỏ 168,"Số 168 đường [tên đường], [phường], [quận], [thành phố]",,,Dịch vụ ẩm thực,"Bún Bỏ, các món ăn liên quan đến bún bỏ",[quận],,[tên đường],[thành phố],[phường],BÚN BỎ 168,crop_images/GPAH9262.JPG.jpg_1730835792.6505053.jpg
Bún Mọc Sài Gòn,"123 Nguyễn Du, Quận 1, TP. Hồ Chí Minh",,,Nhà hàng,Bún mọc,Quận 1,123,Nguyễn Du,TP. Hồ Chí Minh,,BÚN MỌC,crop_images/GPAH9263.JPG.jpg_1730835971.843949.jpg
Bún Mộc Đặc Biệt,"123 Đường Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh",,,Nhà hàng đặc sản,Bún mộc,Quận 7,123,Đường Nguyễn Văn Linh,TP. Hồ Chí Minh,,BÚN MỌC,crop_images/GPAH9263.JPG.jpg_1730835971.8898153.jpg
HƯNG PHÚ,,0918.268.077,,BỔ KHO BÁNH MÌ,HỦ TÚI GIÒ HÈO,,,,,,"HƯNG PHÚ
0918.268.077
HỦ TÚI GIÒ HÈO - BỔ KHO BÁNH MÌ",crop_images/GPAH9266.JPG.jpg_1730836592.642375.jpg
HƯNG PHÚ,0916.269.077,HỦ TỤ GIÒ HÈO,BỔ KHO BÁNH MÌ,,,,,,,,"HƯNG PHÚ
0916.269.077
HỦ TỤ GIÒ HÈO - BỔ KHO BÁNH MÌ",crop_images/GPAH9266.JPG.jpg_1730836592.6640565.jpg
Hủ Tiếu Gà Xé Phay,"123 Đường Nguyễn Văn Linh, Quận 7, TP.HCM",,,Món ăn miền Nam,"Hủ tiếu giò heo, bò kho bánh mì",Quận 7,123,Đường Nguyễn Văn Linh,TP.HCM,,HỦ TÍU GIỜ HEO - BÒ KHO BÁNH MÌ,crop_images/GPAH9266.JPG.jpg_1730836592.727581.jpg
Cửa Hàng VLXD Tuấn Nga,,,,"Vật liệu xây dựng, Thiết bị điện, Các sản phẩm gạch, vật liệu xây dựng khác và các loại sắt phẩm","Điện, Người dùng, Gạch, Cẩm, Đái, Sắt, Phế phẩm",,,,,,"CỬA HÀNG VLXD
TUẦN NGA
CHUYÊN BÁN ĐIỆN, NGƯỜI DỤNG
GẠCH, CẤM, ĐÃI, SẮT PHÉP",crop_images/GPAH9274.JPG.jpg_1730838606.5062292.jpg
Cửa hàng VLXD Tuấn Nga,,,,"Vật liệu xây dựng, thiết bị điện, thiết bị nước","Điện, nước gia dụng, Gạch, cốt, bà, mằng, bạt phếp",,,,,,"CỬA HÀNG VLXD
TUẦN NGA
CHUYÊN BÁN ĐIỆN, NƯỚC GIA ĐÔNG
GẠCH, CỐT, BÀ, MẮNG, BẤT PHÉP",crop_images/GPAH9274.JPG.jpg_1730838606.5151772.jpg
VLXD Tuần Nga,,,,Vật liệu xây dựng và xây lắp,"Bê tông, Nước đá dùng cho xây dựng, Vật liệu cắt, Đá xây dựng, Đi nháng, Vật liệu mất phếp",,,,,,"CỬA HÀNG VLXD TUẦN NGA
CHUYÊN BÁN BIỆN, NƯỚC ĐỊA DỤNG
BẠCH, CẮT, ĐÁ, ĐI NHÁNG, MẤT PHÉP",crop_images/GPAH9274.JPG.jpg_1730838606.5276139.jpg
Tuấn Nga VLXD,,,,Vật liệu xây dựng (VLXD),"Điện, gạch, cây, đất, sắt phế liệu",,,,,,"CỬA HÀNG VLXD
TUẦN NGA
CHUYÊN BÁN ĐIỆN, NHỮNG DỊCH VỤ GẠCH, CÂY, ĐẤT, SẮT PHÉP",crop_images/GPAH9274.JPG.jpg_1730838606.5391376.jpg
Cửa hàng VLXD Tuấn Nga,"615 Hưng Phú, P.9, Q.B, TP.HCM",0948.481.168,,,"Điện, nước gia dụng, gạch, cát, đá, xi măng, sắt thép",Q.B,615,Hưng Phú,TP.HCM,P.9,"Sửa hàng VLXD Tuấn Nga
Chuyên bán điện, nước gia dụng, gạch, cát, đá, xi măng sắt thép
ĐC: 615 Hưng Phú, P.9, Q.B, TP.HCM
DT: 0948.481.168",crop_images/GPAH9277.JPG.jpg_1730839066.0869823.jpg
VLXD Tuấn Nga,"615 Hưng Phú, Phường 9, Quận B, Thành phố Hồ Chí Minh",0948.481.168,,Vật liệu xây dựng,"Thiết bị điện, Thiết bị nước gia dụng, Gạch, Cát, Đá, Xi măng, Sắt thép",Quận B,615,Hưng Phú,Thành phố Hồ Chí Minh,Phường 9,"Sửa hàng VLXD Tuấn Nga
Chuyên bán điện, nước gia dụng, gạch, cát, đá, xi măng sắt thép
ĐC: 615 Hưng Phú, P.9, Q.B, TP.HCM
DT: 0948.481.168",crop_images/GPAH9277.JPG.jpg_1730839066.1445594.jpg
VLX Tuấn Nga,"615 Hưng Phú, P.9, Q.8, TP.HCM",,,thiết bị gia đình và vật liệu xây dựng,"điện, nước giặt, gạch, cát, dệt thép",Q.8,615,Hưng Phú,TP.HCM,P.9,"Cửa hàng VLX Tuấn Nga
Chuyên bán điện, nước giặt, gạch, cát, dệt thép
ĐC: 615 Hưng Phú, P.9, Q.8, TP.HCM",crop_images/GPAH9278.JPG.jpg_1730839278.7869802.jpg
Thảo,"613 Hưng Phú, Phường 9, Quận 8",,,Cửa hàng thức ăn nhanh,"Hủ tiếu xào, Mì xào giòn, Cơm chín đường châu, Cơm gà xôi mơ",Quận 8,613,Hưng Phú,,Phường 9,"THẢO
Hủ Tiếu Xào - Mì Xào Giòn - Cơm Chín Đường Châu - Cơm Gà Xôi Mơ
ĐC: 613 HƯNG PHÚ - P.9 - Q.8",crop_images/GPAH9278.JPG.jpg_1730839278.8049674.jpg
THẢO,"613 HƯNG PHÚ, Phường 9, Quận 8",,,Thực phẩm chế biến nhanh,"Hủ tiếu xào, mì xào giòn, cơm chiên Dương Châu, cơm gà xôi mơ",Quận 8,613,HƯNG PHÚ,,Phường 9,"THẢO
Hủ Tiếu Xào - Mì Xào Giòn - Cơm Chiên Dương Châu - Cơm Gà Xôi Mơ
ĐC: 613 HƯNG PHÚ - P.9 - Q.8",crop_images/GPAH9278.JPG.jpg_1730839278.839591.jpg
VLX Tuấn Nga,"615 Hưng Phú, P.9, Q.8, TP.HCM",,,Vật liệu xây dựng và hóa chất làm sạch,"Điện, nước giặt, gạch, cát, dệt thép",Quận 8,615,Hưng Phú,TP.HCM,Phường 9,"Cửa hàng VLX Tuấn Nga
Chuyên bán điện, nước giặt, gạch, cát, dệt thép
ĐC: 615 Hưng Phú, P.9, Q.8, TP.HCM",crop_images/GPAH9278.JPG.jpg_1730839278.8741195.jpg
THẢO,"623 Hồng Phú, Phường 4, Quận Bình Thạnh",0932.026.753,,Nhà hàng,"HỦ TIẾU XÀO, MÌ XÀO GIÒN, CƠN CHIÊN DƯƠNG CHÙA",Quận Bình Thạnh,623,Hồng Phú,,Phường 4,"THẢO
HỦ TIẾU XÀO - MÌ XÀO GIÒN - CƠN CHIÊN DƯƠNG CHÙA
DT: 0932.026.753
ĐC: 623 HỒNG PHÚ - P.B-4",crop_images/GPAH9279.JPG.jpg_1730839516.450856.jpg
THẢO,,0932.026.753,,"Món ăn gia đình châu Á, đặc biệt là các món xào và chiên","HỦ TIẾU XÀO, MÌ XÀO GIÒN, CƠN CHIÊN DƯƠNG CHẦU",,,,,,"THẢO
HỦ TIẾU XÀO - MÌ XÀO GIÒN - CƠN CHIÊN DƯƠNG CHẦU
DT: 0932.026.753",crop_images/GPAH9279.JPG.jpg_1730839516.4766524.jpg
Thảo,,,,Quán ăn,"Hủ Tiếu Xào, Mì Xào Gỏi, Cảm Chiên",,,,,,"Thảo
Hủ Tiếu Xào - Mì Xào Gỏi - Cảm Chiên Đường Chàu",crop_images/GPAH9279.JPG.jpg_1730839516.4872086.jpg
Nhà hàng Phở Bò Kho,"Số 10 Đường Nguyễn Du, Quận 1, Thành phố Hồ Chí Minh",,,Nhà hàng,"Phở, Bò kho",Quận 1,10,Đường Nguyễn Du,Thành phố Hồ Chí Minh,,Phở - Bò kho,crop_images/GPAH9281.JPG.jpg_1730839752.224036.jpg
Phở Út Lanh,"Số 12, Đường Nguyễn Du",,,"Quán ăn, món ăn Việt Nam","Phở, Bò kho",Quận 1,,,Thành phố Hồ Chí Minh,,Phở - Bò kho,crop_images/GPAH9281.JPG.jpg_1730839752.2505229.jpg
Chào Long,"601 Hưng Phú, Phường 9, Quận 8",22.000 đ,,,,Quận 8,601,Hưng Phú,,Phường 9,"Chào Long
22.000 đ
601 Hưng Phú, P.9, Q.8",crop_images/GPAH9282.JPG.jpg_1730839958.0903652.jpg
